   timestamp          x          y         theta        diff_angle
349.047000 1.9604630 -17.6642666 126.6946487 3.5723953
349.413500 2.2290814 -17.7807064 122.6714020 4.0232468
349.713500 2.4543610 -17.8560848 118.9699478 3.7014542
349.913500 2.6095383 -17.8968353 116.5598526 2.4100952
350.113500 2.7629502 -17.9393291 114.8026581 1.7571945
350.414500 2.9921162 -18.0138149 113.1717148 1.6309433
350.680500 3.1956422 -18.0810966 112.0383759 1.1333389
351.047000 3.4786322 -18.1739540 110.6435089 1.3948669
351.447000 3.7913270 -18.2649193 109.4052963 1.2382126
351.847000 4.1051354 -18.3507938 107.9391785 1.4661179
352.247000 4.4221754 -18.4281540 106.4525528 1.4866257
352.513500 4.6360278 -18.4750767 105.7100906 0.7424622
352.880500 4.9315982 -18.5436611 104.6739044 1.0361862
353.180500 5.1764026 -18.5733833 102.6340714 2.0398331
353.480500 5.4195461 -18.5955467 100.9080734 1.7259979
353.713500 5.6087289 -18.6116161 99.6134033 1.2946701
354.013500 5.8567080 -18.6276646 97.6078186 2.0055847
354.413500 6.1855855 -18.6150818 94.7220612 2.8857574
354.713500 6.4289017 -18.6062012 92.8238678 1.8981934
355.013500 6.6751976 -18.5876923 91.0090256 1.8148422
355.313500 6.9203286 -18.5559273 88.8901215 2.1189041
355.847000 7.3479505 -18.4731598 84.8693924 4.0207291
356.180500 7.6162586 -18.4207840 82.9809799 1.8884125
356.614000 7.9626293 -18.3324566 80.4945068 2.4864731
356.947500 8.2197351 -18.2530708 78.5265121 1.9679947
357.513500 8.6644859 -18.1131725 75.8215485 2.7049637
357.980500 9.0210752 -17.9740047 73.1230698 2.6984787
358.380500 9.3189163 -17.8435154 70.8940887 2.2289810
358.780500 9.6171370 -17.7015266 68.5976715 2.2964172
359.047000 9.8126488 -17.6059647 67.3365631 1.2611084
359.413500 10.0765820 -17.4617310 65.5792618 1.7573013
359.647500 10.2376499 -17.3616085 64.2364883 1.3427734
360.047000 10.5118027 -17.1886101 62.0003586 2.2361298
360.413500 10.7620020 -17.0200481 60.2770691 1.7232895
360.713500 10.9605284 -16.8774757 58.7899208 1.4871483
361.147000 11.2423067 -16.6613960 56.2044373 2.5854836
361.413500 11.4062185 -16.5198975 54.6491318 1.5553055
361.813500 11.6536770 -16.3025856 52.7842712 1.8648605
362.047000 11.7968893 -16.1736412 51.5414162 1.2428551
362.413500 12.0052185 -15.9597368 49.3836632 2.1577530
362.813500 12.2272253 -15.7192106 47.3624229 2.0212402
363.080500 12.3758373 -15.5560455 46.1204605 1.2419624
363.447000 12.5647144 -15.3246937 44.0391312 2.0813293
363.813500 12.7509689 -15.0845528 42.0166893 2.0224419
364.180500 12.9302492 -14.8456202 40.2940292 1.7226601
364.480500 13.0639124 -14.6411495 38.6002579 1.6937714
364.747000 13.1762857 -14.4543524 37.0194550 1.5808029
365.113500 13.3376265 -14.1932707 35.2652473 1.7542076
365.513500 13.5076723 -13.9096308 33.8651657 1.4000816
365.813500 13.6314411 -13.6947489 32.6803093 1.1848564
366.147000 13.7608995 -13.4503870 31.4976025 1.1827068
366.380500 13.8523359 -13.2787619 30.7502804 0.7473221
366.681000 13.9648037 -13.0569429 29.6183395 1.1319408
366.947000 14.0573492 -12.8580637 28.5646038 1.0537357
367.180500 14.1402473 -12.6781473 27.6399059 0.9246979
367.480500 14.2407455 -12.4470711 26.4879265 1.1519794
367.847000 14.3571701 -12.1654711 25.2528343 1.2350922
368.247000 14.4792452 -11.8525429 23.8050613 1.4477730
368.780500 14.6396713 -11.4323883 22.6822128 1.1228485
369.213500 14.7639799 -11.0896425 22.0083160 0.6738968
369.647500 14.8880596 -10.7477455 21.2257576 0.7825584
370.213500 15.0391760 -10.3008261 20.2436581 0.9820995
370.813500 15.1985836 -9.8182068 19.2473373 0.9963207
371.580500 15.3892708 -9.1977119 18.0863495 1.1609879
372.313500 15.5622597 -8.5986547 17.0092163 1.0771332
372.913500 15.6989946 -8.1098337 16.3390274 0.6701889
373.480500 15.8288612 -7.6475320 16.2862301 0.0527973
373.980500 15.9494429 -7.2375159 16.2665844 0.0196457
374.347500 16.0376759 -6.9394732 16.3109055 0.0443211
374.747000 16.1299820 -6.6103177 16.2576084 0.0532970
375.347000 16.2775421 -6.1211600 16.2953129 0.0377045
375.680500 16.3504486 -5.8493185 16.3081646 0.0128517
376.180500 16.4730911 -5.4398632 16.2173920 0.0907726
376.981000 16.6613827 -4.7806983 16.1166077 0.1007843
377.713500 16.7700272 -4.1728749 12.7685261 3.3480816
378.013500 16.7802887 -3.9207308 10.0609055 2.7076206
378.447500 16.7799759 -3.5598783 6.4222770 3.6386285
378.780500 16.7706356 -3.2838750 4.1091404 2.3131366
379.147000 16.7376842 -2.9817986 0.8758312 3.2333093
379.847000 16.6607723 -2.4145784 -3.3234308 2.4475996
380.380500 16.6292934 -1.9724153 -3.2406762 0.0827546
381.013500 16.6066780 -1.4455656 -3.1001985 0.1404777
381.447000 16.5898628 -1.0779145 -2.8954856 0.2047129
381.813500 16.5752277 -0.7786438 -2.7330682 0.1624174
382.180500 16.5663223 -0.4705654 -2.6253357 0.1077325
382.680500 16.5466633 -0.0508634 -2.3678234 0.2575123
383.013500 16.5410728 0.2303199 -2.3288555 0.0389678
383.447000 16.5287533 0.5948789 -2.2028415 0.1260140
383.881000 16.5160961 0.9615957 -1.9603034 0.2425381
384.313500 16.5064373 1.3255252 -1.8218855 0.1384180
384.680500 16.4974747 1.6374850 -1.6805739 0.1413115
384.947500 16.4932957 1.8643035 -1.5367937 0.1437802
385.313500 16.4879417 2.1748629 -1.4938883 0.0429054
385.747000 16.4797764 2.5424094 -1.2896521 0.2042361
386.080500 16.4758968 2.8271036 -1.1076882 0.1819639
386.413500 16.4724751 3.1046710 -0.9886552 0.1190330
386.780500 16.4660511 3.4190686 -0.8389832 0.1496720
387.113500 16.4657650 3.7025638 -0.7345085 0.1044747
387.380500 16.4650726 3.9283624 -0.6471186 0.0873899
387.680500 16.4622669 4.1837196 -0.5459971 0.1011215
387.880500 16.4616642 4.3521495 -0.4233727 0.1226243
388.113500 16.4618187 4.5528493 -0.3760665 0.0473062
388.380500 16.4649124 4.7806935 -0.2906553 0.0854113
388.613500 16.4642162 4.9763494 -0.1769905 0.1136648
389.047000 16.4661045 5.3465767 -0.0365497 0.1404408
389.213500 16.4702721 5.4920921 -0.0113680 0.0251817
389.480500 16.4732494 5.7167139 0.0772261 0.0658580
389.781500 16.4729729 5.9772325 0.2113104 0.1340843
390.047000 16.4750862 6.2016654 0.3602100 0.1488996
390.381000 16.4791069 6.4858317 0.4238127 0.0636027
390.648000 16.4835548 6.7112613 0.5141000 0.0902874
390.947000 16.4838238 6.9601712 0.6528288 0.1387288
391.313500 16.4910812 7.2795482 0.7359995 0.0831707
391.780500 16.4988689 7.6726112 0.8674551 0.1314556
392.014000 16.5000172 7.8762698 1.0233489 0.1558938
